Name,Category,Ticket,Margin,Status,Target Vertical,Platform
Automation Rescue Audit,B2B Service,$150 USD,95%,Ready,Clínicas Estéticas San Pedro,WhatsApp
Pipeline Pro Setup,B2B Service,$550 USD,90%,Ready,Clínicas & Spas MTY,n8n + Web
Intake Legal & Acuerdos,B2B Service,$8500 MXN,92%,Ready,Despachos Jurídicos MTY,WhatsApp + Portal
Cotizador Express Talleres,B2B Service,$4900 MXN,95%,Ready,Talleres Automotrices MTY,WhatsApp
WhatsApp AI Router n8n,Digital Product,$39 USD,100%,Packaged,Freelancers & Agencias,Gumroad
CRO Diagnostic Engine,Digital Product,$49 USD,100%,Packaged,Diseñadores Web,Gumroad
Payment Fulfillment Make,Digital Product,$29 USD,100%,Packaged,Creadores Digitales,Gumroad
Marketing OS 14 Agents,Digital Product,$79 USD,100%,Packaged,Dueños de Agencia,Gumroad
OrbAgent Mobile Copilot,Micro-SaaS,$39 USD/mo,85%,In Progress,PyMEs & Agencias,Expo / Supabase
Signal Universe 3D Engine,High-Ticket,$2500 USD,90%,Shipped,Ejecutivos & Startups,Cloudflare
